"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","306","cy.fixture() - load a fixture","Files","2026-05-23","passed","2026-05-23","","","",""
"","224","cy.contains() - query DOM elements with matching content","Querying","2026-05-23","passed","2026-05-23","","","",""
"","143","pass your own callback function to should()","Assertions","2026-05-23","passed","2026-05-23","","Explicit Assertions","",""
"","85",".prev() - get previous sibling DOM element","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","100",".within() - query DOM elements within a specific element","Querying","2026-05-23","passed","2026-05-23","","","",""
"","238","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-05-23","passed","2026-05-23","","","",""
"","100",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","82","Get current spec information","Cypress APIs","2026-05-23","passed","2026-05-23","","Cypress.spec","",""
"","91",".parent() - get parent DOM element from DOM elements","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","100","invokes a callback function with the current subject","Connectors","2026-05-23","passed","2026-05-23","",".then()","",""
"","187","cy.clearCookie() - clear a browser cookie","Cookies","2026-05-23","passed","2026-05-23","","","",""
"","306","cy.request() - verify response using BDD syntax","Network Requests","2026-05-23","passed","2026-05-23","","","",""
"","102",".spread() - spread an array as individual args to callback function","Connectors","2026-05-23","passed","2026-05-23","","","",""
"","102",".first() - get first DOM element","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","258","can delete all completed tasks","example to-do app","2026-05-23","passed","2026-05-23","","with a checked task","",""
"","3790",".type() - type into a DOM element","Actions","2026-05-23","passed","2026-05-23","","","",""
"","123","assert - assert shape of an object","Assertions","2026-05-23","passed","2026-05-23","","Explicit Assertions","",""
"","304","cy.visit() - visit a remote url","Navigation","2026-05-23","passed","2026-05-23","","","",""
"","2114","cy.scrollTo() - scroll the window or element to a position","Actions","2026-05-23","passed","2026-05-23","","","",""
"","902",".select() - select an option in a <select> element","Actions","2026-05-23","passed","2026-05-23","","","",""
"","1906",".click() - click on a DOM element","Actions","2026-05-23","passed","2026-05-23","","","",""
"","99",".invoke() - invoke a function on the current subject","Connectors","2026-05-23","passed","2026-05-23","","","",""
"","92","yields the value yielded by the last Cypress command inside","Connectors","2026-05-23","passed","2026-05-23","",".then()","",""
"","77","cy.url() - get the current URL","Location","2026-05-23","passed","2026-05-23","","","",""
"","95","cy.wrap() - wrap an object","Misc","2026-05-23","passed","2026-05-23","","","",""
"","89",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","33","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-05-23","passed","2026-05-23","","","",""
"","227","cy.request() with query parameters","Network Requests","2026-05-23","passed","2026-05-23","","","",""
"","2781","cy.viewport() - set the viewport size and dimension","Viewport","2026-05-23","passed","2026-05-23","","","",""
"","81","Get current version of Cypress being run","Cypress APIs","2026-05-23","passed","2026-05-23","","Cypress.version","",""
"","95","Get CPU architecture name of underlying OS","Cypress APIs","2026-05-23","passed","2026-05-23","","Cypress.arch","",""
"","2524","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-05-23","passed","2026-05-23","","","",""
"","266","cy.wait() - wait for a specific route","Waiting","2026-05-23","passed","2026-05-23","","","",""
"","90","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-05-23","passed","2026-05-23","","","",""
"","146","finds element by class name regex","Assertions","2026-05-23","passed","2026-05-23","","Explicit Assertions","",""
"","184","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-05-23","passed","2026-05-23","","","",""
"","115",".closest() - get closest ancestor DOM element","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","95",".eq() - get a DOM element at a specific index","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","954","cy.screenshot() - take a screenshot","Misc","2026-05-23","passed","2026-05-23","","Cypress.Screenshot","",""
"","210",".dblclick() - double click on a DOM element","Actions","2026-05-23","passed","2026-05-23","","","",""
"","93",".filter() - get DOM elements that match the selector","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","207","can check off an item as completed","example to-do app","2026-05-23","passed","2026-05-23","","","",""
"","121","cy.getAllCookies() - get all browser cookies","Cookies","2026-05-23","passed","2026-05-23","","","",""
"","253",".and() - chain multiple assertions together","Assertions","2026-05-23","passed","2026-05-23","","Implicit Assertions","",""
"","87",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-05-23","passed","2026-05-23","","Cypress.dom","",""
"","223",".each() - iterate over an array of elements","Connectors","2026-05-23","passed","2026-05-23","","","",""
"","330","Cypress._ - call a lodash method","Utilities","2026-05-23","passed","2026-05-23","","","",""
"","141","matches unknown text between two elements","Assertions","2026-05-23","passed","2026-05-23","","Explicit Assertions","",""
"","198","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-05-23","passed","2026-05-23","","","",""
"","97","cy.fixture() or require - load a fixture","Files","2026-05-23","passed","2026-05-23","","","",""
"","370","cy.focused() - get the DOM element that has focus","Misc","2026-05-23","passed","2026-05-23","","","",""
"","21","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-05-23","passed","2026-05-23","","","",""
"","476","cy.request() - make an XHR request","Network Requests","2026-05-23","passed","2026-05-23","","","",""
"","82","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-05-23","passed","2026-05-23","","","",""
"","358",".as() - alias a DOM element for later use","Aliasing","2026-05-23","passed","2026-05-23","","","",""
"","127",".trigger() - trigger an event on a DOM element","Actions","2026-05-23","passed","2026-05-23","","","",""
"","815",".as() - alias a route for later use","Aliasing","2026-05-23","passed","2026-05-23","","","",""
"","223","cy.location() - get window.location","Location","2026-05-23","passed","2026-05-23","","","",""
"","317","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-05-23","passed","2026-05-23","","","",""
"","211","cy.window() - get the global window object","Window","2026-05-23","passed","2026-05-23","","","",""
"","81","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-05-23","passed","2026-05-23","","Cypress.Screenshot","",""
"","826",".check() - check a checkbox or radio element","Actions","2026-05-23","passed","2026-05-23","","","",""
"","188","Cypress.$ - call a jQuery method","Utilities","2026-05-23","passed","2026-05-23","","","",""
"","1053","cy.exec() - execute a system command","Misc","2026-05-23","passed","2026-05-23","","","",""
"","85",".not() - remove DOM elements from set of DOM elements","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","109","cy.readFile() - read file contents","Files","2026-05-23","passed","2026-05-23","","","",""
"","394",".blur() - blur off a DOM element","Actions","2026-05-23","passed","2026-05-23","","","",""
"","166","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-05-23","passed","2026-05-23","","","",""
"","475",".clear() - clears an input or textarea element","Actions","2026-05-23","passed","2026-05-23","","","",""
"","325",".should() - make an assertion about the current subject","Assertions","2026-05-23","passed","2026-05-23","","Implicit Assertions","",""
"","262","can filter for uncompleted tasks","example to-do app","2026-05-23","passed","2026-05-23","","with a checked task","",""
"","324","cy.getCookie() - get a browser cookie","Cookies","2026-05-23","passed","2026-05-23","","","",""
"","464","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-05-23","passed","2026-05-23","","","",""
"","166","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-05-23","passed","2026-05-23","","","",""
"","84",".last() - get last DOM element","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","90",".siblings() - get all sibling DOM elements","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","826","displays two todo items by default","example to-do app","2026-05-23","passed","2026-05-23","","","",""
"","109",".its() - get properties on the current subject","Connectors","2026-05-23","passed","2026-05-23","","","",""
"","90","cy.document() - get the document object","Window","2026-05-23","passed","2026-05-23","","","",""
"","242","cy.writeFile() - write to a file","Files","2026-05-23","passed","2026-05-23","","","",""
"","122",".focus() - focus on a DOM element","Actions","2026-05-23","passed","2026-05-23","","","",""
"","80","Control what is printed to the Command Log","Cypress APIs","2026-05-23","passed","2026-05-23","","Cypress.log","",""
"","198","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-05-23","passed","2026-05-23","","","",""
"","246",".children() - get child DOM elements","Traversal","2026-05-23","passed","2026-05-23","","","",""
"","123","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-05-23","passed","2026-05-23","","","",""
